,nombre_reviwer,calificacion,tiempo,fecha_de_extraccion,fecha_del_comentario,hora,comentario,calidad_del_reviewer,id_local,pais,ciudad,sentimiento
0,Cristhian Onoro Conrado, 5 estrellas ,hace 3 meses,2021-05-02 22:01:16.305593,2021-02-02 22:01:16.305593,,"Un sitio para tomar y una excelente cena. Su hamburguesa machete una cosa de locos. Su excelente personal me hicieron sentir como en casa. Espero volverlos a visitar en mi próxima visita a la ciudad de Medellín!

Gracias",Local Guide ・26 opiniones,"@6.2083763,-75.6008363",,,
1,ÓPTICA ALTAMAR, 5 estrellas ,hace un mes,2021-05-02 22:01:16.305593,2021-04-02 22:01:16.305593,,"Es primer vez que consumo en este sitio , pero fue súper, compramos dos hamburguesas más bebidas y solo pagamos 55.000$ . Delicioso!",Local Guide ・42 opiniones,"@6.2083763,-75.6008363",,,
2,Jessica Hernandez, 4 estrellas ,hace 3 meses,2021-05-02 22:01:16.305593,2021-02-02 22:01:16.305593,,"Me gustó mucho el ambiente de este lugar, muy buena atención y la comida estupenda. Hay distanciamiento entre las mesas, se toma la temperatura al entrar y se desinfectan los zapatos y las manos. Hay buen uso del tapabocas en los empleados.
Pedí un bowl de pollo envuelto en tocineta con una ensalada que tenía toques dulces, toques picantes y toques refrescantes, estaba delicioso todo. Sin duda recomiendo este sitio.",Local Guide ・42 opiniones,"@6.2083763,-75.6008363",,,
3,Andres Pineda, 5 estrellas ,hace 3 meses,2021-05-02 22:01:16.305593,2021-02-02 22:01:16.305593,,"El lugar es muy agradable, tiene un amplio menú y la.comida es rica. La atención fue amable y rápida.
Probé el Pollo Burdo (recomendado por el mesero) y fue una buena elección.",Local Guide ・491 opiniones,"@6.2083763,-75.6008363",,,
4,Carol Ortiz, 4 estrellas ,hace 4 meses,2021-05-02 22:01:16.305593,2021-01-02 22:01:16.305593,,"La comida es muy rica. Tienen mesas al aire libre, cumplen con los protocolos de bioseguridad.",Local Guide ・97 opiniones,"@6.2083763,-75.6008363",,,
5,FERNANDA ÁLVAREZ, 4 estrellas ,hace un mes,2021-05-02 22:01:16.305593,2021-04-02 22:01:16.305593,,"Me gustó mucho la comida, excelente servicio, agradable el lugar. Para cenar y tomar unos tragos.",Local Guide ・13 opiniones,"@6.2083763,-75.6008363",,,
6,Daniel Perez, 4 estrellas ,un año atrás,2021-05-02 22:01:16.305593,2020-05-02 22:01:16.305593,,"Muy buen lugar, el servicio es excepcional y la comida es deliciosa.
Recomiendo las papas, las costillas son deliciosas y las cantidades muy suficientes.
Lo recomiendo para ir a compartir, a tomar algo con los amigos y la familia...................",Local Guide ・130 opiniones,"@6.2083763,-75.6008363",,,
7,Stefania Quintero, 5 estrellas ,hace 2 meses,2021-05-02 22:01:16.305593,2021-03-02 22:01:16.305593,,Muy agradable el lugar.,17 opiniones,"@6.2083763,-75.6008363",,,
8,Orion Idarraga, 5 estrellas ,hace 2 meses,2021-05-02 22:01:16.305593,2021-03-02 22:01:16.305593,,"Un lugar bien decorado, muy bien ubicado, con buenos platos, el parche en la calle para tardear es ideal.",Local Guide ・94 opiniones,"@6.2083763,-75.6008363",,,
9,Jennifer Londoño, 3 estrellas ,hace 3 meses,2021-05-02 22:01:16.305593,2021-02-02 22:01:16.305593,,"Los tres cócteles que probé súper ácidos y poco alcohol. El sándwich que es el único en la carta muy rico, el pollo rostizado de muy buen sabor pero las papas que lo acompañaban estaban duras y frías.",Local Guide ・14 opiniones,"@6.2083763,-75.6008363",,,
10,Jose Montes, 5 estrellas ,hace 2 meses,2021-05-02 22:01:16.305593,2021-03-02 22:01:16.305593,,"Lugar perfecto para una ocasión especial , la carne es 100 % recomendada .",10 opiniones,"@6.2083763,-75.6008363",,,
11,Daniela Suaza, 5 estrellas ,hace 3 meses,2021-05-02 22:01:16.305593,2021-02-02 22:01:16.305593,,"Me encantó el lugar y la atención, además de eso la comida es deliciosa. Definitivamente volveré.",Local Guide ・22 opiniones,"@6.2083763,-75.6008363",,,
12,fernando lenis, 4 estrellas ,hace un mes,2021-05-02 22:01:16.305593,2021-04-02 22:01:16.305593,,Buen lugar!!,8 opiniones,"@6.2083763,-75.6008363",,,
13,Rolando Sanchez, 5 estrellas ,hace un mes,2021-05-02 22:01:16.305593,2021-04-02 22:01:16.305593,,Excelente lugar para.comoartir con amigos.,Local Guide ・73 opiniones,"@6.2083763,-75.6008363",,,
14,Alejandra Perez Uribe, 5 estrellas ,hace un mes,2021-05-02 22:01:16.305593,2021-04-02 22:01:16.305593,,Muy rica la comida y muy agradable el ambiente,Local Guide ・33 opiniones,"@6.2083763,-75.6008363",,,
15,Edwin J Landaeta, 5 estrellas ,hace 5 meses,2021-05-02 22:01:16.305593,2020-12-02 22:01:16.305593,,"Excelente lugar, variedad de gustos locales, según tu personalidad.
Me encantó",Local Guide ・26 opiniones,"@6.2083763,-75.6008363",,,
16,Lina Marcela Perez Fernandez, 4 estrellas ,hace 3 meses,2021-05-02 22:01:16.305593,2021-02-02 22:01:16.305593,,Un lugar muy agradable para compartir con amigos,Local Guide ・50 opiniones,"@6.2083763,-75.6008363",,,
17,Romy Cruzado, 3 estrellas ,2 años atrás,2021-05-02 22:01:16.305593,2019-05-02 22:01:16.305593,,Muy buen ambiente! La decoración y todo el menaje es de lo más creativo y personalizado. Pero debo admitir que la comida no lleno mis expectativas ni las de mi familia.  No me pareció mala...pero me pareció muy regular de sabor y de…,Local Guide ・7 opiniones,"@6.2083763,-75.6008363",,,
18,Julieth Reyes, 5 estrellas ,hace 2 meses,2021-05-02 22:01:16.305593,2021-03-02 22:01:16.305593,,Súper buen ambiente!!! Demasiado divertido,Local Guide ・17 opiniones,"@6.2083763,-75.6008363",,,
19,Biviana Lopez Salas, 5 estrellas ,hace un mes,2021-05-02 22:01:16.305593,2021-04-02 22:01:16.305593,,Lo mejor en todo,4 opiniones,"@6.2083763,-75.6008363",,,
20,Johan Villamizar, 5 estrellas ,hace 2 meses,2021-05-02 22:01:16.305593,2021-03-02 22:01:16.305593,,Me encantó el lugar y la musica es genial,Local Guide ・64 opiniones,"@6.2083763,-75.6008363",,,
21,ORLANDO TORREALBA, 5 estrellas ,hace 6 meses,2021-05-02 22:01:16.305593,2020-11-02 22:01:16.305593,,"Genial, un gran sitio, una gran historia, desde su creador hasta los que están, para los visitantes, este lugar marco una tendencia contemporánea en lo que respecta a gastronomía, experiencia,  coctelería (...) Es un lugar diferente a todos.",Local Guide ・34 opiniones,"@6.2083763,-75.6008363",,,
22,Mario Alberto Diaz, 5 estrellas ,hace 4 meses,2021-05-02 22:01:16.305593,2021-01-02 22:01:16.305593,,Muy buen sitio,Local Guide ・23 opiniones,"@6.2083763,-75.6008363",,,
23,AURORA, 5 estrellas ,2 años atrás,2021-05-02 22:01:16.305593,2019-05-02 22:01:16.305593,,"No tiene nada que envidiarle a otro. El servicio es realmente especial. Si vas solo, siéntate en la barra y disfruta de una buena conversación, de un bonito ambiente, deliciosos cócteles y comida. Pedí una Burger clásica con tocineta y queso y un Red Velvet para terminar. Son mis recomendados.",Local Guide ・71 opiniones,"@6.2083763,-75.6008363",,,
24,Nina Pardo, 5 estrellas ,hace 5 meses,2021-05-02 22:01:16.305593,2020-12-02 22:01:16.305593,,Siento que su menú no es muy variado ...aun así su burdo vegana y el waffle triple estuvieron muy bien 👌🏼,Local Guide ・23 opiniones,"@6.2083763,-75.6008363",,,
25,Andres Acosta Mejia, 4 estrellas ,hace 4 meses,2021-05-02 22:01:16.305593,2021-01-02 22:01:16.305593,,"Excelente comida, muy buena música, aunque un poquito duro.",Local Guide ・19 opiniones,"@6.2083763,-75.6008363",,,
26,Hector Fernandez, 5 estrellas ,hace 6 meses,2021-05-02 22:01:16.305593,2020-11-02 22:01:16.305593,,"La comida es buena. Recomiendo ampliamente el sandwich (no recuerdo el nombre, es el único sandwich q tienen pero es brutal). Es un local en el que la mayoría de las cosas tienen bastante queso cheddar, si no te gusta, de pronto el menú no te sea suficiente.

De resto, brutal",Local Guide ・25 opiniones,"@6.2083763,-75.6008363",,,
27,David Cuartas, 5 estrellas ,hace 4 meses,2021-05-02 22:01:16.305593,2021-01-02 22:01:16.305593,,"Muy buen lugar, servicio y la comida muy rica.",11 opiniones,"@6.2083763,-75.6008363",,,
28,Campo Elias Borja Velez, 4 estrellas ,hace 3 meses,2021-05-02 22:01:16.305593,2021-02-02 22:01:16.305593,,Sitio agradable para tomar una copa o cóctel.,Local Guide ・61 opiniones,"@6.2083763,-75.6008363",,,
29,Maria Baron, 5 estrellas ,un año atrás,2021-05-02 22:01:16.305593,2020-05-02 22:01:16.305593,,"Tienen el guacamole más delicioso que me haya comido en la vida! Los cocktails no se quedan atrás, la música es una nota... todo perfecto 💜 De mis lugares favoritos.",Local Guide ・38 opiniones,"@6.2083763,-75.6008363",,,
30,Juan Burbano, 4 estrellas ,hace 4 meses,2021-05-02 22:01:16.305593,2021-01-02 22:01:16.305593,,"Muy buen servicio, comida muy rica y buenas bebidas",Local Guide ・90 opiniones,"@6.2083763,-75.6008363",,,
31,fabian perez, 4 estrellas ,hace 3 meses,2021-05-02 22:01:16.305593,2021-02-02 22:01:16.305593,,Es muy agradable,Local Guide ・33 opiniones,"@6.2083763,-75.6008363",,,
32,Erik Palacio, 4 estrellas ,hace 3 meses,2021-05-02 22:01:16.305593,2021-02-02 22:01:16.305593,,"Muy rica la comida, un lugar bonito, lo único que no me gustó muy dura la música, no te deja escuchar bien si estas conversando, toca casi gritar.",Local Guide ・75 opiniones,"@6.2083763,-75.6008363",,,
33,Carlos De Amat, 3 estrellas ,un año atrás,2021-05-02 22:01:16.305593,2020-05-02 22:01:16.305593,,"La hamburguesas son muy buenas, pero no el pollo rostizado, la atención es amable y el ambiente con música alta es el de un bar. Buen lugar.",Local Guide ・26 opiniones,"@6.2083763,-75.6008363",,,
34,Level mi negocio, 4 estrellas ,hace 2 meses,2021-05-02 22:01:16.305593,2021-03-02 22:01:16.305593,,La carta debería de tener fotos de los platos y mejor atención al momento de pedir,Local Guide ・43 opiniones,"@6.2083763,-75.6008363",,,
35,yacanos, 3 estrellas ,hace 4 meses,2021-05-02 22:01:16.305593,2021-01-02 22:01:16.305593,,"Si vas a pedir alguna promoción ofrecida, verifica bien si el tamaño del producto si es el que prometen.",Local Guide ・47 opiniones,"@6.2083763,-75.6008363",,,
36,Hector Gomajoa, 5 estrellas ,hace 6 meses,2021-05-02 22:01:16.305593,2020-11-02 22:01:16.305593,,La MACHETE BUGUER es deliciosa... los mojitos están muy buenos,Local Guide ・32 opiniones,"@6.2083763,-75.6008363",,,
